YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1880,-3.80,1.90,6.60,9.50,12.80,15.80,19.30,17.50,15.20,8.80,4.90,5.29,-0.81,9.63,17.53,9.63,9.00
1881,-3.91,2.29,5.89,8.09,13.19,17.09,20.19,17.89,12.99,5.09,6.99,0.88,1.22,9.06,18.39,8.36,9.26
1882,-0.12,1.58,7.38,9.48,13.58,15.58,17.18,16.08,13.38,9.98,5.38,1.77,0.78,10.15,16.28,9.58,9.20
1883,0.57,3.77,0.37,8.37,14.27,17.27,17.37,16.97,13.97,8.47,5.17,0.76,2.04,7.67,17.20,9.20,9.03
1884,3.46,3.66,6.56,7.76,14.06,13.46,19.66,18.06,14.46,8.46,2.46,2.15,2.63,9.46,17.06,8.46,9.40
1885,-2.55,4.85,3.85,10.45,10.75,18.05,18.15,15.95,13.75,7.85,4.35,-0.26,1.48,8.35,17.38,8.65,8.97
1886,-0.26,-0.96,2.64,10.34,13.44,14.54,18.04,17.84,16.34,10.54,5.64,1.52,-0.49,8.81,16.81,10.84,8.99
1887,-3.58,-0.58,1.92,8.42,10.82,17.22,20.42,17.42,12.72,5.52,3.72,-0.69,-0.88,7.05,18.35,7.32,7.96
1888,-1.79,-1.09,3.21,6.71,13.71,17.51,15.81,16.21,13.61,6.51,4.41,-0.10,-1.19,7.88,16.51,8.18,7.84
1889,-1.40,-1.40,1.70,8.10,15.90,18.80,17.70,16.70,11.80,8.90,3.30,-1.41,-0.97,8.57,17.73,8.00,8.33
1890,2.79,-2.21,4.99,8.19,14.39,15.09,16.59,17.49,13.49,6.99,3.89,-4.52,-0.28,9.19,16.39,8.12,8.36
1891,-4.42,-0.42,4.08,6.28,13.18,15.98,16.98,16.28,14.68,10.58,3.08,1.97,-3.12,7.85,16.41,9.45,7.65
1892,-0.63,1.57,2.17,8.77,13.77,16.37,17.27,19.37,15.07,7.97,5.07,-1.94,0.97,8.24,17.67,9.37,9.06
1893,-6.44,3.66,6.26,11.46,13.26,16.96,18.56,18.56,13.96,10.66,3.76,0.55,-1.57,10.33,18.03,9.46,9.06
1894,-0.85,2.75,5.95,10.95,12.05,15.45,18.65,17.05,12.05,9.25,5.45,0.23,0.82,9.65,17.05,8.92,9.11
1895,-3.97,-7.07,2.93,10.13,12.83,16.73,18.73,17.53,17.33,7.83,6.73,1.62,-3.60,8.63,17.66,10.63,8.33
1896,-0.58,0.52,7.32,6.82,11.82,17.22,18.42,15.32,13.92,9.32,2.72,0.71,0.52,8.65,16.99,8.65,8.70
1897,-1.39,4.51,7.31,9.01,11.61,18.21,18.41,18.01,13.11,8.31,3.61,1.50,1.28,9.31,18.21,8.34,9.29
1898,2.00,2.30,4.40,9.20,12.50,16.30,16.20,19.90,15.10,11.10,5.50,3.09,1.93,8.70,17.47,10.57,9.67
1899,3.59,3.79,4.89,8.59,12.39,16.29,18.09,18.99,13.69,8.99,6.49,-1.92,3.49,8.62,17.79,9.72,9.91
1900,2.48,3.28,1.88,8.58,11.88,17.68,19.78,17.28,15.38,9.78,5.48,3.18,1.28,7.45,18.25,10.21,9.30
1901,-1.82,-3.12,3.58,9.68,14.18,16.98,18.68,16.88,14.08,8.78,2.88,2.28,-0.59,9.15,17.51,8.58,8.66
1902,3.28,0.88,5.48,10.28,9.68,16.08,18.18,16.78,13.58,8.28,2.68,-0.82,2.15,8.48,17.01,8.18,8.96
1903,1.48,4.88,7.18,5.48,13.48,15.78,17.18,17.18,14.38,10.28,4.98,-0.32,1.85,8.71,16.71,9.88,9.29
1904,-1.22,2.48,4.78,10.48,14.28,17.38,21.18,17.68,12.68,9.48,3.28,2.68,0.31,9.85,18.75,8.48,9.35
1905,-1.52,2.08,6.28,8.28,12.78,17.78,20.88,18.18,13.58,4.68,3.78,1.38,1.08,9.11,18.95,7.35,9.12
1906,1.88,0.88,3.28,9.18,13.78,15.38,18.48,18.38,13.08,11.58,6.28,-1.22,1.38,8.75,17.41,10.31,9.46
1907,0.48,-0.52,4.08,7.38,14.48,16.38,16.18,17.88,14.88,10.98,4.78,2.97,-0.42,8.65,16.81,10.21,8.81
1908,-2.73,1.77,3.77,6.57,14.67,18.57,18.07,15.17,12.87,8.27,2.47,0.47,0.67,8.34,17.27,7.87,8.54
1909,-1.63,-1.43,3.47,9.77,12.37,14.67,15.87,17.67,13.07,10.77,2.37,3.27,-0.86,8.54,16.07,8.74,8.12
1910,1.97,3.47,4.67,8.57,12.57,16.67,16.37,16.77,11.77,10.07,3.57,3.17,2.90,8.60,16.60,8.47,9.14
1911,-1.53,2.07,5.27,7.97,13.17,15.37,20.57,20.77,15.87,9.47,5.77,4.27,1.24,8.80,18.90,10.37,9.83
1912,1.27,4.77,8.07,7.97,13.77,16.77,18.17,14.67,9.27,7.77,2.97,3.27,3.44,9.94,16.54,6.67,9.14
1913,1.47,2.17,7.87,8.47,13.37,15.77,15.07,15.67,13.07,10.57,8.67,2.07,2.30,9.90,15.50,10.77,9.62
1914,-2.93,3.87,6.27,11.37,11.37,14.87,17.87,17.87,13.07,8.67,3.27,4.47,1.00,9.67,16.87,8.34,8.97
1915,0.97,2.47,3.67,7.87,14.87,19.07,17.77,16.47,12.77,7.37,2.37,5.87,2.64,8.80,17.77,7.50,9.18
1916,5.17,2.77,5.67,9.07,14.27,13.77,17.37,17.27,12.67,9.47,5.47,2.67,4.60,9.67,16.14,9.20,9.90
